Sensor1,Sensor2,Sensor3,Sensor4,,Actual,Predicted
0.917,0.747,2.662,0.888,,Sharp-Right-Turn,Move-Forward
0.867,0.452,1.439,0.435,,Move-Forward,Move-Forward
0.84,0.468,1.495,1.427,,Move-Forward,Move-Forward
1.257,0.715,1.321,0.86,,Sharp-Right-Turn,Sharp-Right-Turn
0.81,0.983,1.232,0.948,,Move-Forward,Move-Forward
1.178,0.539,1.731,0.6,,Sharp-Right-Turn,Sharp-Right-Turn
0.77,0.489,1.758,1.768,,Move-Forward,Move-Forward
0.779,0.555,2.4,1.417,,Move-Forward,Move-Forward
5,0.566,1.392,0.462,,Sharp-Right-Turn,Sharp-Right-Turn
0.587,0.523,1.871,0.989,,Move-Forward,Move-Forward
0.868,0.666,0.972,1.199,,Move-Forward,Move-Forward
1.223,0.806,1.897,0.859,,Sharp-Right-Turn,Sharp-Right-Turn
0.822,0.399,2.669,0.452,,Move-Forward,Move-Forward
1.023,0.732,2.933,1.704,,Sharp-Right-Turn,Sharp-Right-Turn
1.358,0.683,1.438,0.854,,Sharp-Right-Turn,Sharp-Right-Turn
0.809,0.517,1.711,1.305,,Move-Forward,Move-Forward
0.807,0.58,1.649,1.313,,Move-Forward,Move-Forward
1.02,0.779,2.906,1.568,,Sharp-Right-Turn,Sharp-Right-Turn
0.781,0.354,2.839,0.837,,Move-Forward,Move-Forward
0.642,0.778,2.331,1.846,,Move-Forward,Move-Forward
0.908,0.8,1.317,2.519,,Sharp-Right-Turn,Move-Forward
2.662,0.697,2.719,0.948,,Sharp-Right-Turn,Sharp-Right-Turn
1.108,0.59,1.171,1.143,,Sharp-Right-Turn,Sharp-Right-Turn
1.009,0.597,1.074,1.2,,Sharp-Right-Turn,Sharp-Right-Turn
2.362,0.513,1.773,1.325,,Sharp-Right-Turn,Sharp-Right-Turn
0.777,0.497,1.854,1.093,,Move-Forward,Move-Forward
1.085,0.584,1.151,1.162,,Sharp-Right-Turn,Sharp-Right-Turn
1.5,0.65,2.586,0.994,,Sharp-Right-Turn,Sharp-Right-Turn
0.808,0.499,1.751,1.432,,Move-Forward,Move-Forward
0.77,0.794,2.749,4.333,,Move-Forward,Move-Forward
0.802,0.431,1.42,0.381,,Move-Forward,Move-Forward
1.006,0.518,1.748,1.201,,Sharp-Right-Turn,Sharp-Right-Turn
1.223,0.536,1.747,0.998,,Sharp-Right-Turn,Sharp-Right-Turn
0.77,0.489,1.76,1.141,,Move-Forward,Move-Forward
1.38,0.735,1.44,0.731,,Sharp-Right-Turn,Sharp-Right-Turn
2.111,0.576,2.835,0.783,,Sharp-Right-Turn,Sharp-Right-Turn
0.998,0.674,2.998,1.015,,Sharp-Right-Turn,Sharp-Right-Turn
0.769,0.685,1.529,0.743,,Move-Forward,Move-Forward
1.232,0.56,1.794,1.024,,Sharp-Right-Turn,Sharp-Right-Turn
0.821,0.964,0.892,2.586,,Move-Forward,Move-Forward
1.295,0.539,1.714,0.941,,Sharp-Right-Turn,Sharp-Right-Turn
0.741,0.426,3.082,1.037,,Move-Forward,Move-Forward
