Sensor1,Sensor2,Sensor3,Sensor4,,Actual,Predicted
1.415,0.462,1.866,1.154,,Slight-Right-Turn,Slight-Right-Turn
1.413,0.462,1.864,1.163,,Slight-Right-Turn,Slight-Right-Turn
1.603,0.463,1.861,1.172,,Slight-Right-Turn,Slight-Right-Turn
1.593,0.464,1.859,1.185,,Slight-Right-Turn,Slight-Right-Turn
1.38,0.465,1.853,1.195,,Slight-Right-Turn,Slight-Right-Turn
1.371,0.466,1.851,1.205,,Slight-Right-Turn,Slight-Right-Turn
1.363,0.467,1.846,1.215,,Slight-Right-Turn,Slight-Right-Turn
1.355,0.469,1.846,0.567,,Slight-Right-Turn,Slight-Right-Turn
1.347,0.471,1.84,1.233,,Slight-Right-Turn,Slight-Right-Turn
1.34,0.472,1.837,1.242,,Slight-Right-Turn,Slight-Right-Turn
1.332,0.474,1.834,1.251,,Slight-Right-Turn,Slight-Right-Turn
1.515,0.476,1.831,1.26,,Slight-Right-Turn,Slight-Right-Turn
1.505,0.478,1.828,1.27,,Slight-Right-Turn,Slight-Right-Turn
1.494,0.479,1.825,1.277,,Slight-Right-Turn,Slight-Right-Turn
1.484,0.481,1.822,1.286,,Slight-Right-Turn,Slight-Right-Turn
1.473,0.482,1.819,1.296,,Slight-Right-Turn,Slight-Right-Turn
1.464,0.484,1.816,1.308,,Slight-Right-Turn,Slight-Right-Turn
1.454,0.486,1.813,1.314,,Slight-Right-Turn,Slight-Right-Turn
1.444,0.488,1.807,1.327,,Slight-Right-Turn,Slight-Right-Turn
1.434,0.49,1.804,0.817,,Slight-Right-Turn,Slight-Right-Turn
1.424,0.492,1.8,0.825,,Slight-Right-Turn,Slight-Right-Turn
1.415,0.494,1.798,0.83,,Slight-Right-Turn,Slight-Right-Turn
1.406,0.497,1.795,0.838,,Move-Forward,Slight-Right-Turn
1.397,0.499,1.792,0.846,,Move-Forward,Slight-Right-Turn
1.387,0.502,1.789,0.855,,Move-Forward,Slight-Right-Turn
1.377,0.505,1.785,0.861,,Move-Forward,Slight-Right-Turn
1.366,0.508,1.781,0.572,,Move-Forward,Move-Forward
1.354,0.512,1.776,0.578,,Move-Forward,Move-Forward
1.34,0.517,1.77,0.579,,Move-Forward,Slight-Right-Turn
1.326,0.523,1.764,0.584,,Move-Forward,Move-Forward
1.311,0.528,1.758,0.934,,Move-Forward,Move-Forward
1.298,0.534,1.751,0.595,,Move-Forward,Move-Forward
1.279,0.541,1.743,0.604,,Move-Forward,Move-Forward
1.262,0.549,1.735,1.526,,Move-Forward,Move-Forward
1.245,0.556,1.727,0.625,,Move-Forward,Move-Forward
1.227,0.565,1.719,0.626,,Move-Forward,Move-Forward
1.209,0.571,1.711,1.579,,Move-Forward,Move-Forward
1.192,0.579,1.703,0.64,,Move-Forward,Move-Forward
1.174,0.587,1.695,1.621,,Move-Forward,Move-Forward
1.156,0.595,1.686,1.641,,Move-Forward,Move-Forward
1.141,0.603,1.677,1.658,,Move-Forward,Move-Forward
1.122,0.611,1.668,1.675,,Move-Forward,Move-Forward
1.103,0.619,1.658,0.68,,Move-Forward,Move-Forward
1.084,0.627,1.649,1.72,,Move-Forward,Move-Forward
1.065,0.636,1.64,0.697,,Move-Forward,Move-Forward
1.043,0.645,1.63,0.706,,Move-Forward,Move-Forward
1.024,0.651,1.622,0.707,,Move-Forward,Move-Forward
1.006,0.662,1.613,0.719,,Move-Forward,Move-Forward
0.988,0.67,1.604,0.724,,Move-Forward,Move-Forward
0.97,0.678,1.595,0.782,,Move-Forward,Move-Forward
0.952,0.687,1.586,1.869,,Move-Forward,Move-Forward
0.933,0.696,1.576,1.358,,Move-Forward,Sharp-Right-Turn
0.915,0.705,1.567,1.907,,Move-Forward,Move-Forward
0.897,0.714,1.555,1.927,,Sharp-Right-Turn,Move-Forward
0.878,0.722,1.552,1.41,,Sharp-Right-Turn,Sharp-Right-Turn
0.86,0.73,1.537,1.416,,Sharp-Right-Turn,Sharp-Right-Turn
0.843,0.738,1.525,0.809,,Sharp-Right-Turn,Sharp-Right-Turn
0.825,0.746,1.513,0.804,,Sharp-Right-Turn,Sharp-Right-Turn
0.809,0.753,1.504,0.814,,Sharp-Right-Turn,Sharp-Right-Turn
0.794,0.759,1.494,0.82,,Sharp-Right-Turn,Sharp-Right-Turn
